Unnamed: 0,Player,height,weight,collage,born,birth_city,birth_state,height_m,bmi
1038,Greg Jackson,183.0,81.0,Guilford College,1952.0,Brooklyn,New York,1.83,24.187046492878256
1039,Wardell Jackson,201.0,90.0,Ohio State University,1951.0,Yazoo City,Mississippi,2.01,22.276676319893078
1040,Aaron James,203.0,95.0,Grambling State University,1952.0,New Orleans,Louisiana,2.03,23.053216530369586
1041,Mickey Johnson,208.0,86.0,Aurora University,1952.0,Chicago,Illinois,2.08,19.877958579881653
1042,Jimmy Jones,193.0,85.0,Grambling State University,1945.0,Tallulah,Louisiana,1.93,22.819404547773097
1043,Frank Kendrick,198.0,89.0,Purdue University,1950.0,Indianapolis,Indiana,1.98,22.70176512600755
1044,Len Kosmalski,213.0,111.0,University of Tennessee,1951.0,Cleveland,Ohio,2.13,24.466045096872318
1045,Bill Ligon,193.0,81.0,Vanderbilt University,1952.0,Nashville,Tennessee,1.93,21.745550216113184
1046,Phil Lumpkin,183.0,74.0,Miami University,1951.0,Dayton,Ohio,1.83,22.096807907073963
1047,Glenn McDonald,198.0,86.0,"California State University, Long Beach",1952.0,Kewanee,Illinois,1.98,21.93653708805224
1048,Eric Money,183.0,77.0,University of Arizona,1955.0,Detroit,Michigan,1.83,22.99262444384723
1049,Connie Norman,190.0,79.0,University of Arizona,1953.0,Detroit,Michigan,1.9,21.883656509695292
1050,Kevin Restani,206.0,102.0,University of San Francisco,1951.0,San Francisco,California,2.06,24.036195682910737
1051,Truck Robinson,201.0,102.0,Tennessee State University,1951.0,Jacksonville,Florida,2.01,25.246899829212154
1052,Campy Russell,196.0,98.0,University of Michigan,1944.0,Chicago,Illinois,1.96,25.510204081632654
1053,Fred Saunders,201.0,95.0,Syracuse University,1951.0,Columbus,Ohio,2.01,23.514269448776027
1054,Tal Skinner,196.0,88.0,University of Maryland Eastern Shore,1952.0,Berlin,Maryland,1.96,22.907122032486466
1055,Don Smith,188.0,86.0,University of Minnesota,1920.0,Minnesota,,1.88,24.332277048438208
1056,Phil Smith,193.0,83.0,University of San Francisco,1952.0,San Francisco,California,1.93,22.28247738194314
1057,Mike Sojourner,206.0,102.0,University of Utah,1953.0,Philadelphia,Pennsylvania,2.06,24.036195682910737
1058,Kevin Stacom,190.0,83.0,Providence College,1951.0,New York,New York,1.9,22.991689750692522
