Unnamed: 0,Player,height,weight,collage,born,birth_city,birth_state,height_m,bmi
1729,Carl Henry,198.0,92.0,University of Kansas,1960.0,Hollis,Oklahoma,1.98,23.46699316396286
1730,Alfredrick Hughes,198.0,92.0,,1960.0,,,1.98,23.46699316396286
1731,Ken Johnson,203.0,108.0,Michigan State University,1962.0,Tuskegee,Alabama,2.03,26.20786721347279
1732,Yvon Joseph,211.0,111.0,Georgia Institute of Technology,1957.0,Cap-Haitian,Haiti,2.11,24.932054536061635
1733,Harold Keeling,193.0,83.0,Santa Clara University,1963.0,New Orleans,Louisiana,1.93,22.28247738194314
1734,Joe Kleine,211.0,115.0,University of Arkansas,1962.0,Colorado Springs,Colorado,2.11,25.83050695177557
1735,Jon Koncak,213.0,113.0,Southern Methodist University,1963.0,Cedar Rapids,Iowa,2.13,24.906874738257404
1736,Keith Lee,208.0,97.0,University of Memphis,1962.0,West Memphis,Arkansas,2.08,22.42048816568047
1737,Karl Malone*,206.0,113.0,Louisiana Tech University,1963.0,Summerfield,Louisiana,2.06,26.628334433028563
1738,Bill Martin,201.0,92.0,Georgetown University,1962.0,Washington,District of Columbia,2.01,22.771713571446256
1739,Brian Martin,206.0,96.0,University of Kansas,1962.0,Fort Smith,Arkansas,2.06,22.622301819210104
1740,Dwayne McClain,198.0,83.0,Villanova University,1963.0,Worcester,Massachusetts,1.98,21.17130905009693
1741,Xavier McDaniel,201.0,92.0,Wichita State University,1963.0,Columbia,South Carolina,2.01,22.771713571446256
1742,Ben McDonald,203.0,95.0,"University of California, Irvine",1962.0,Torrance,California,2.03,23.053216530369586
1743,Chris McNealy,201.0,95.0,San Jose State University,1961.0,Fresno,California,2.01,23.514269448776027
1744,Dirk Minniefield,190.0,81.0,University of Kentucky,1961.0,Lexington,Kentucky,1.9,22.437673130193907
1745,Perry Moss,188.0,83.0,Northeastern University,1958.0,Tucson,Arizona,1.88,23.48347668628339
1746,Chris Mullin*,198.0,90.0,St. John's University,1963.0,New York,New York,1.98,22.95684113865932
1747,Charles Oakley,203.0,102.0,Virginia Union University,1963.0,Cleveland,Ohio,2.03,24.75187459050208
1748,Michael Phelps,193.0,81.0,Alcorn State University,1961.0,Vicksburg,Mississippi,1.93,21.745550216113184
1749,Ed Pinckney,206.0,88.0,Villanova University,1963.0,Bronx,New York,2.06,20.737110000942597
1750,Terry Porter,190.0,88.0,University of Wisconsin-Stevens Point,1963.0,Milwaukee,Wisconsin,1.9,24.37673130193906
1751,Blair Rasmussen,213.0,113.0,University of Oregon,1962.0,Auburn,Washington,2.13,24.906874738257404
1752,Jerry Reynolds,203.0,90.0,Louisiana State University,1962.0,Brooklyn,New York,2.03,21.83988934456066
1753,Derrick Rowland,196.0,88.0,State University of New York at Potsdam,1959.0,Brookhaven,New York,1.96,22.907122032486466
1754,Detlef Schrempf,206.0,97.0,University of Washington,1963.0,Leverkusen,Germany,2.06,22.857950796493544
1755,Carey Scurry,201.0,85.0,Long Island University,1962.0,Brooklyn,New York,2.01,21.03908319101013
1756,Mike Smrek,213.0,113.0,Canisius College,1962.0,Welland,Canada,2.13,24.906874738257404
1757,Alex Stivrins,203.0,99.0,University of Colorado,1962.0,Lincoln,Nebraska,2.03,24.023878279016728
1758,Greg Stokes,208.0,99.0,University of Iowa,1963.0,New Haven,Connecticut,2.08,22.882766272189347
1759,Bob Thornton,208.0,102.0,"University of California, Irvine",1962.0,Los Angeles,California,2.08,23.57618343195266
1760,Wayman Tisdale,206.0,108.0,University of Oklahoma,1964.0,Tulsa,Oklahoma,2.06,25.45008954661137
1761,Sedric Toney,188.0,80.0,University of Dayton,1962.0,Columbus,Mississippi,1.88,22.634676324128566
1762,Nick Vanos,216.0,115.0,Santa Clara University,1963.0,San Mateo,California,2.16,24.648491083676266
1763,Sam Vincent,188.0,83.0,Michigan State University,1963.0,Lansing,Michigan,1.88,23.48347668628339
1764,Spud Webb,168.0,60.0,North Carolina State University,1963.0,Dallas,Texas,1.68,21.258503401360546
1765,Bill Wennington,213.0,111.0,St. John's University,1963.0,Montreal,Canada,2.13,24.466045096872318
1766,Gerald Wilkins,198.0,83.0,University of Tennessee at Chattanooga,1963.0,Atlanta,Georgia,1.98,21.17130905009693
1767,Pete Williams,201.0,86.0,University of Arizona,1965.0,Harbor City,California,2.01,21.286601816786717
1768,Voise Winters,203.0,90.0,Bradley University,1962.0,Chicago,Illinois,2.03,21.83988934456066
1769,Rafael Addison,201.0,97.0,Syracuse University,1964.0,Jersey City,New Jersey,2.01,24.009306700329205
1770,Mark Alarie,203.0,98.0,Duke University,1963.0,Phoenix,Arizona,2.03,23.78121284185494
1771,William Bedford,213.0,102.0,University of Memphis,1963.0,Memphis,Tennessee,2.13,22.482311710639426
1772,Walter Berry,203.0,97.0,St. John's University,1964.0,New York,New York,2.03,23.538547404693155
1773,Joe Binion,203.0,106.0,North Carolina Agricultural and Technical State University,1961.0,Rochester,New York,2.03,25.722536339149222
1774,Adrian Branch,201.0,83.0,University of Maryland,1963.0,Washington,District of Columbia,2.01,20.54404593945695
1775,Mike Brown,206.0,116.0,George Washington University,1963.0,Newark,New Jersey,2.06,27.335281364878877
1776,Ben Coleman,206.0,106.0,University of Maryland,1961.0,Minneapolis,Minnesota,2.06,24.97879159204449
1777,Dell Curry,193.0,86.0,Virginia Polytechnic Institute and State University,1964.0,Harrisonburg,Virginia,1.93,23.087868130688072
1778,Brad Daugherty,213.0,111.0,University of North Carolina,1965.0,Black Mountain,North Carolina,2.13,24.466045096872318
1779,Johnny Dawkins,188.0,74.0,Duke University,1963.0,Washington,District of Columbia,1.88,20.937075599818925
1780,Bruce Douglas,190.0,88.0,University of Illinois at Urbana-Champaign,1964.0,Quincy,Illinois,1.9,24.37673130193906
1781,Greg Dreiling,216.0,113.0,University of Kansas,1962.0,Wichita,Kansas,2.16,24.219821673525374
1782,Kevin Duckworth,213.0,124.0,Eastern Illinois University,1964.0,Harvey,Illinois,2.13,27.331437765875382
1783,Dave Feitl,211.0,106.0,University of Texas at El Paso,1962.0,Butler,Pennsylvania,2.11,23.80898901641922
1784,Kenny Gattison,203.0,102.0,Old Dominion University,1964.0,Wilmington,North Carolina,2.03,24.75187459050208
1785,Grant Gondrezick,196.0,92.0,Pepperdine University,1963.0,Boulder,Colorado,1.96,23.94835485214494
1786,Ron Harper,198.0,83.0,Miami University,1964.0,Dayton,Ohio,1.98,21.17130905009693
1787,Cedric Henderson,203.0,95.0,University of Georgia,1965.0,Marietta,Georgia,2.03,23.053216530369586
1788,Kevin Henderson,193.0,88.0,"California State University, Fullerton",1964.0,Baltimore,Maryland,1.93,23.624795296518027
1789,Conner Henry,201.0,88.0,"University of California, Santa Barbara",1963.0,Claremont,California,2.01,21.7816390683399
1790,Jeff Hornacek,190.0,86.0,Iowa State University,1963.0,Elmhurst,Illinois,1.9,23.822714681440445
1791,Myron Jackson,190.0,83.0,University of Arkansas at Little Rock,1964.0,Hamburg,Arkansas,1.9,22.991689750692522
1792,Buck Johnson,201.0,86.0,University of Alabama,1964.0,Birmingham,Alabama,2.01,21.286601816786717
1793,Steffond Johnson,203.0,99.0,Murray State University,1944.0,Clairton,Pennsylvania,2.03,24.023878279016728
1794,Anthony Jones,198.0,88.0,"University of Nevada, Las Vegas",1962.0,Washington,District of Columbia,1.98,22.44668911335578
1795,Tim Kempton,208.0,111.0,University of Notre Dame,1964.0,Jamaica,New York,2.08,25.656434911242602
1796,Curtis Kitchen,206.0,106.0,University of South Florida,1964.0,Cape Coral,Florida,2.06,24.97879159204449
1797,Larry Krystkowiak,206.0,99.0,University of Montana,1964.0,Missoula,Montana,2.06,23.329248751060423
1798,Jim Lampley,208.0,104.0,University of Arkansas at Little Rock,1960.0,Harrisburg,Pennsylvania,2.08,24.038461538461537
1799,Fernando Martin,206.0,99.0,,1962.0,Madrid,Spain,2.06,23.329248751060423
1800,Maurice Martin,198.0,90.0,Saint Joseph's University,1964.0,Liberty,New York,1.98,22.95684113865932
1801,Forrest McKenzie,201.0,90.0,Loyola Marymount University,1963.0,Camden,New Jersey,2.01,22.276676319893078
1802,Nate McMillan,196.0,88.0,North Carolina State University,1964.0,Raleigh,North Carolina,1.96,22.907122032486466
1803,Cozell McQueen,211.0,106.0,North Carolina State University,1962.0,Paris,France,2.11,23.80898901641922
1804,Pete Myers,198.0,81.0,University of Arkansas at Little Rock,1963.0,Mobile,Alabama,1.98,20.66115702479339
1805,Johnny Newman,201.0,86.0,University of Richmond,1963.0,Danville,Virginia,2.01,21.286601816786717
1806,Dennis Nutt,188.0,77.0,Texas Christian University,1963.0,Little Rock,Arkansas,1.88,21.785875961973744
1807,Chuck Person,203.0,99.0,Auburn University,1964.0,Brantley,Alabama,2.03,24.023878279016728
1808,Dwayne Polee,196.0,81.0,Pepperdine University,1963.0,Los Angeles,California,1.96,21.084964598084134
1809,Harold Pressley,201.0,95.0,Villanova University,1963.0,Bronx,New York,2.01,23.514269448776027
1810,Mark Price,183.0,77.0,Georgia Institute of Technology,1964.0,Bartlesville,Oklahoma,1.83,22.99262444384723
1811,Dennis Rodman*,201.0,95.0,Southeastern Oklahoma State University,1961.0,Trenton,New Jersey,2.01,23.514269448776027
1812,Johnny Rogers,208.0,102.0,"University of California, Irvine",1963.0,Fullerton,California,2.08,23.57618343195266
1813,Ron Rowan,196.0,90.0,St. John's University,1962.0,New Brighton,Pennsylvania,1.96,23.427738442315704
1814,John Salley,211.0,104.0,Georgia Institute of Technology,1964.0,Brooklyn,New York,2.11,23.35976280856225
1815,Brad Sellers,213.0,95.0,Ohio State University,1962.0,Warrensville Heights,Ohio,2.13,20.939407965791624
1816,McKinley Singleton,196.0,79.0,University of Alabama at Birmingham,1961.0,Memphis,Tennessee,1.96,20.564348188254897
1817,Scott Skiles,185.0,81.0,Michigan State University,1964.0,LaPorte,Indiana,1.85,23.66691015339664
1818,Clinton Smith,198.0,95.0,Cleveland State University,1964.0,Cleveland,Ohio,1.98,24.232221201918172
1819,Keith Smith,190.0,77.0,University of North Carolina,1965.0,Queens,New York,1.9,21.329639889196677
1820,Otis Smith,196.0,95.0,Jacksonville University,1964.0,Jacksonville,Florida,1.96,24.729279466888798
1821,Roy Tarpley,211.0,104.0,University of Michigan,1964.0,New York,New York,2.11,23.35976280856225
1822,Billy Thompson,201.0,88.0,University of Louisville,1963.0,Camden,New Jersey,2.01,21.7816390683399
1823,Andre Turner,180.0,72.0,University of Memphis,1964.0,Memphis,Tennessee,1.8,22.22222222222222
1824,Kenny Walker,203.0,95.0,University of Kentucky,1964.0,Roberta,Georgia,2.03,23.053216530369586
1825,Chris Washburn,211.0,102.0,North Carolina State University,1965.0,Hickory,North Carolina,2.11,22.910536600705285
1826,Pearl Washington,188.0,86.0,Syracuse University,1964.0,Brooklyn,New York,1.88,24.332277048438208
1827,John Williams,188.0,83.0,New Mexico State University,1951.0,New Haven,Connecticut,1.88,23.48347668628339
1828,David Wingate,196.0,83.0,Georgetown University,1963.0,Baltimore,Maryland,1.96,21.605581007913372
1829,Brad Wright,211.0,102.0,"University of California, Los Angeles",1962.0,Hollywood,California,2.11,22.910536600705285
1830,Perry Young,196.0,95.0,Virginia Polytechnic Institute and State University,1963.0,Baltimore,Maryland,1.96,24.729279466888798
1831,Mark Acres,211.0,99.0,Oral Roberts University,1962.0,Inglewood,California,2.11,22.23669728891984
1832,Steve Alford,188.0,83.0,Indiana University,1964.0,Franklin,Indiana,1.88,23.48347668628339
1833,Greg Anderson,208.0,104.0,University of Houston,1964.0,Houston,Texas,2.08,24.038461538461537
1834,Joe Arlauckas,206.0,104.0,Niagara University,1965.0,Rochester,New York,2.06,24.507493637477616
1835,Vincent Askew,198.0,95.0,University of Memphis,1966.0,Memphis,Tennessee,1.98,24.232221201918172
1836,Nate Blackwell,193.0,77.0,Temple University,1965.0,Philadelphia,Pennsylvania,1.93,20.671695884453275
1837,Muggsy Bogues,160.0,61.0,Wake Forest University,1965.0,Baltimore,Maryland,1.6,23.828124999999996
1838,Norris Coleman,203.0,95.0,Kansas State University,1961.0,Jacksonville,Florida,2.03,23.053216530369586
1839,Dallas Comegys,206.0,92.0,DePaul University,1964.0,Philadelphia,Pennsylvania,2.06,21.67970591007635
1840,Winston Crite,201.0,105.0,Texas A&M University,1965.0,Bakersfield,California,2.01,25.989455706541925
1841,Billy Donovan,180.0,77.0,Providence College,1965.0,Rockville Centre,New York,1.8,23.76543209876543
1842,Chris Dudley,188.0,81.0,University of Washington,1950.0,Harrisburg,Pennsylvania,1.88,22.917609778180175
1843,Jim Farmer,193.0,86.0,University of Alabama,1964.0,Dothan,Alabama,1.93,23.087868130688072
1844,Tellis Frank,208.0,102.0,Western Kentucky University,1965.0,Gary,Indiana,2.08,23.57618343195266
1845,Kevin Gamble,196.0,95.0,University of Iowa,1965.0,Springfield,Illinois,1.96,24.729279466888798
1846,Winston Garland,188.0,77.0,Missouri State University,1964.0,Gary,Indiana,1.88,21.785875961973744
1847,Armen Gilliam,206.0,104.0,"University of Nevada, Las Vegas",1964.0,Pittsburgh,Pennsylvania,2.06,24.507493637477616
1848,Horace Grant,208.0,97.0,Clemson University,1965.0,Augusta,Georgia,2.08,22.42048816568047
1849,Dave Henderson,196.0,88.0,Duke University,1964.0,Henderson,North Carolina,1.96,22.907122032486466
1850,Dave Hoppen,211.0,106.0,University of Nebraska,1964.0,Omaha,Nebraska,2.11,23.80898901641922
1851,Dennis Hopson,196.0,90.0,Ohio State University,1965.0,Toledo,Ohio,1.96,23.427738442315704
1852,Eddie Hughes,178.0,74.0,Colorado State University,1960.0,Greenville,Mississippi,1.78,23.355636914530994
1853,Mark Jackson,185.0,81.0,St. John's University,1965.0,Brooklyn,New York,1.85,23.66691015339664
1854,Michael Jackson,201.0,97.0,"California State University, Los Angeles",1949.0,Washington,District of Columbia,2.01,24.009306700329205
1855,Kannard Johnson,206.0,99.0,Western Kentucky University,1965.0,Cincinnati,Ohio,2.06,23.329248751060423
1856,Kevin Johnson,203.0,108.0,Michigan State University,1962.0,Tuskegee,Alabama,2.03,26.20786721347279
1857,Bart Kofoed,193.0,95.0,University of Nebraska at Kearney,1964.0,Omaha,Nebraska,1.93,25.50404037692287
1858,Ralph Lewis,198.0,90.0,La Salle University,1963.0,Philadelphia,Pennsylvania,1.98,22.95684113865932
1859,Reggie Lewis,201.0,88.0,Northeastern University,1965.0,Baltimore,Maryland,2.01,21.7816390683399
1860,Brad Lohaus,211.0,104.0,University of Iowa,1964.0,New Ulm,Minnesota,2.11,23.35976280856225
1861,Derrick McKey,206.0,92.0,University of Alabama,1966.0,Meridian,Mississippi,2.06,21.67970591007635
1862,Reggie Miller*,201.0,83.0,"University of California, Los Angeles",1965.0,Riverside,California,2.01,20.54404593945695
1863,Andre Moore,206.0,97.0,Loyola University of Chicago,1964.0,Chicago,Illinois,2.06,22.857950796493544
1864,Ron Moore,213.0,117.0,West Virginia State University,1962.0,New York,New York,2.13,25.788534021027576
1865,Ronnie Murphy,196.0,102.0,Jacksonville University,1964.0,Dover,Delaware,1.96,26.55143690129113
1866,Tod Murphy,206.0,99.0,"University of California, Irvine",1963.0,Long Beach,California,2.06,23.329248751060423
1867,Martin Nessley,218.0,117.0,Duke University,1965.0,Columbus,Ohio,2.18,24.619139803046878
1868,Ken Norman,203.0,97.0,University of Illinois at Urbana-Champaign,1964.0,Chicago,Illinois,2.03,23.538547404693155
1869,Scottie Pippen*,203.0,95.0,University of Central Arkansas,1965.0,Hamburg,Arkansas,2.03,23.053216530369586
1870,Olden Polynice,211.0,99.0,University of Virginia,1964.0,Port-au-Prince,Haiti,2.11,22.23669728891984
1871,Richard Rellford,198.0,104.0,University of Michigan,1964.0,Riviera Beach,Florida,1.98,26.527905315784103
1872,Scott Roth,203.0,96.0,University of Wisconsin,1963.0,Cleveland,Ohio,2.03,23.295881967531372
1873,Brian Rowsom,206.0,99.0,University of North Carolina at Wilmington,1965.0,Newark,New Jersey,2.06,23.329248751060423
1874,Kenny Smith,190.0,77.0,University of North Carolina,1965.0,Queens,New York,1.9,21.329639889196677
1875,John Stroeder,208.0,117.0,University of Montana,1958.0,Bremerton,Washington,2.08,27.043269230769226
1876,Mark Wade,180.0,72.0,"University of Nevada, Las Vegas",1965.0,Torrance,California,1.8,22.22222222222222
1877,Milt Wagner,196.0,83.0,University of Louisville,1963.0,Camden,New Jersey,1.96,21.605581007913372
1878,Jamie Waller,193.0,97.0,Virginia Union University,1964.0,South Boston,Virginia,1.93,26.040967542752828
1879,Duane Washington,193.0,88.0,Middle Tennessee State University,1964.0,Eschwege,Germany,1.93,23.624795296518027
1880,Chris Welp,213.0,111.0,University of Washington,1964.0,Delmenhorst,Germany,2.13,24.466045096872318
1881,Clinton Wheeler,185.0,83.0,William Paterson University,1959.0,Neptune,New Jersey,1.85,24.251278305332356
1882,Eric White,203.0,90.0,Pepperdine University,1965.0,San Francisco,California,2.03,21.83988934456066
1883,Tony White,188.0,77.0,University of Tennessee,1965.0,Charlotte,North Carolina,1.88,21.785875961973744
1884,Reggie Williams,201.0,86.0,Georgetown University,1964.0,Baltimore,Maryland,2.01,21.286601816786717
1885,Nikita Wilson,203.0,90.0,Louisiana State University,1964.0,Pineville,Louisiana,2.03,21.83988934456066
1886,Ricky Wilson,196.0,90.0,University of Louisville,1956.0,Louisville,Kentucky,1.96,23.427738442315704
1887,Rickie Winslow,203.0,102.0,University of Houston,1964.0,Houston,Texas,2.03,24.75187459050208
1888,Joe Wolf,211.0,104.0,University of North Carolina,1964.0,Kohler,Wisconsin,2.11,23.35976280856225
1889,Phil Zevenbergen,208.0,104.0,University of Washington,1964.0,Seattle,Washington,2.08,24.038461538461537
1890,Randy Allen,203.0,99.0,Florida State University,1965.0,Milton,Florida,2.03,24.023878279016728
1891,Michael Anderson,180.0,83.0,Drexel University,1966.0,Philadelphia,Pennsylvania,1.8,25.61728395061728
1892,Willie Anderson,201.0,86.0,University of Georgia,1967.0,Greenville,South Carolina,2.01,21.286601816786717
1893,Ricky Berry,203.0,92.0,San Jose State University,1964.0,Lansing,Michigan,2.03,22.32522021888423
1894,Anthony Bowie,198.0,86.0,University of Oklahoma,1963.0,Tulsa,Oklahoma,1.98,21.93653708805224
1895,Scott Brooks,180.0,74.0,"University of California, Irvine",1965.0,French Camp,California,1.8,22.839506172839506
1896,Mark Bryant,206.0,111.0,Seton Hall University,1965.0,Glen Ridge,New Jersey,2.06,26.157036478461684
1897,Greg Butler,211.0,108.0,Stanford University,1966.0,Inglewood,California,2.11,24.258215224276185
1898,Mike Champion,208.0,104.0,Gonzaga University,1964.0,Everett,Washington,2.08,24.038461538461537
1899,Rex Chapman,193.0,83.0,University of Kentucky,1967.0,Bowling Green,Kentucky,1.93,22.28247738194314
1900,Derrick Chievous,201.0,88.0,University of Missouri,1967.0,New York,New York,2.01,21.7816390683399
1901,Mark Davis,198.0,88.0,Old Dominion University,1963.0,Chesapeake,Virginia,1.98,22.44668911335578
1902,Vinny Del,198.0,88.0,,1963.0,,,1.98,22.44668911335578
1903,Fennis Dembo,196.0,97.0,University of Wyoming,1966.0,Mobile,Alabama,1.96,25.249895876718035
1904,Ledell Eackles,196.0,99.0,University of New Orleans,1966.0,Baton Rouge,Louisiana,1.96,25.770512286547273
1905,Kevin Edwards,190.0,86.0,DePaul University,1965.0,Cleveland Heights,Ohio,1.9,23.822714681440445
1906,Wayne Englestad,203.0,111.0,"University of California, Irvine",1966.0,Rosemead,California,2.03,26.935863524958148
1907,Rolando Ferreira,216.0,108.0,University of Houston,1964.0,Curtiba,Brazil,2.16,23.148148148148145
1908,Duane Ferrell,201.0,94.0,Georgia Institute of Technology,1965.0,Baltimore,Maryland,2.01,23.266750822999438
1909,Anthony Frederick,201.0,92.0,Pepperdine University,1964.0,Los Angeles,California,2.01,22.771713571446256
1910,Corey Gaines,190.0,88.0,Loyola Marymount University,1965.0,Los Angeles,California,1.9,24.37673130193906
1911,Tom Garrick,188.0,83.0,University of Rhode Island,1966.0,West Warwick,Rhode Island,1.88,23.48347668628339
1912,Ben Gillery,213.0,106.0,Georgetown University,1965.0,Detroit,Michigan,2.13,23.363970993409602
1913,Orlando Graham,203.0,99.0,Auburn University at Montgomery,1965.0,Montgomery,Alabama,2.03,24.023878279016728
1914,Ron Grandison,198.0,97.0,University of New Orleans,1964.0,Los Angeles,California,1.98,24.742373227221712
1915,Gary Grant,190.0,83.0,University of Michigan,1965.0,Canton,Ohio,1.9,22.991689750692522
1916,Harvey Grant,203.0,88.0,University of Oklahoma,1965.0,Augusta,Georgia,2.03,21.35455847023709
1917,Sylvester Gray,198.0,104.0,University of Memphis,1967.0,Millington,Tennessee,1.98,26.527905315784103
1918,Jeff Grayer,196.0,90.0,Iowa State University,1965.0,Flint,Michigan,1.96,23.427738442315704
1919,Jack Haley,208.0,108.0,"University of California, Los Angeles",1964.0,Long Beach,California,2.08,24.96301775147929
1920,Hersey Hawkins,190.0,86.0,Bradley University,1966.0,Chicago,Illinois,1.9,23.822714681440445
1921,Tito Horford,216.0,111.0,University of Miami,1966.0,LaRomana,Dominican Republic,2.16,23.791152263374485
1922,Avery Johnson,178.0,79.0,Southern University and A&M College,1965.0,New Orleans,Louisiana,1.78,24.933720489837143
1923,Bill Jones,201.0,79.0,University of Iowa,1966.0,Detroit,Michigan,2.01,19.55397143635059
1924,Shelton Jones,206.0,95.0,St. John's University,1966.0,Copaigue,New York,2.06,22.38665284192667
1925,Steve Kerr,190.0,79.0,University of Arizona,1965.0,Beirut,Lebanon,1.9,21.883656509695292
1926,Randolph Keys,201.0,88.0,University of Southern Mississippi,1966.0,Collins,Mississippi,2.01,21.7816390683399
1927,Jerome Lane,198.0,104.0,University of Pittsburgh,1966.0,Akron,Ohio,1.98,26.527905315784103
1928,Andrew Lang,211.0,111.0,University of Arkansas,1966.0,Pine Bluff,Arkansas,2.11,24.932054536061635
1929,Eric Leckner,211.0,120.0,University of Wyoming,1966.0,Inglewood,California,2.11,26.953572471417985
1930,Jim Les,180.0,74.0,Bradley University,1963.0,Niles,Illinois,1.8,22.839506172839506
1931,Rob Lock,206.0,102.0,University of Kentucky,1966.0,Reedley,California,2.06,24.036195682910737
1932,Grant Long,203.0,102.0,Eastern Michigan University,1966.0,Wayne,Michigan,2.03,24.75187459050208
1933,Dan Majerle,198.0,97.0,Central Michigan University,1965.0,Traverse City,Michigan,1.98,24.742373227221712
1934,Danny Manning,208.0,104.0,University of Kansas,1966.0,Hattiesburg,Mississippi,2.08,24.038461538461537
1935,Vernon Maxwell,193.0,81.0,University of Florida,1965.0,Gainesville,Florida,1.93,21.745550216113184
1936,Todd Mitchell,201.0,92.0,Purdue University,1966.0,Toledo,Ohio,2.01,22.771713571446256
1937,Chris Morris,203.0,95.0,Auburn University,1966.0,Atlanta,Georgia,2.03,23.053216530369586
1938,Richard Morton,190.0,86.0,"California State University, Fullerton",1966.0,San Francisco,California,1.9,23.822714681440445
1939,Craig Neal,196.0,74.0,Georgia Institute of Technology,1964.0,Muncie,Indiana,1.96,19.2628071636818
1940,Jose Ortiz,208.0,102.0,Oregon State University,1963.0,Albonito,Puerto Rico,2.08,23.57618343195266
1941,Will Perdue,213.0,108.0,Vanderbilt University,1965.0,Melbourne,Florida,2.13,23.804800634794688
1942,Tim Perry,206.0,90.0,Temple University,1965.0,Freehold,New Jersey,2.06,21.208407955509475
1943,Dave Popson,208.0,99.0,University of North Carolina,1964.0,Kingston,Pennsylvania,2.08,22.882766272189347
1944,Dominic Pressley,188.0,77.0,Boston College,1964.0,Washington,District of Columbia,1.88,21.785875961973744
1945,Mitch Richmond*,196.0,97.0,Kansas State University,1965.0,Fort Lauderdale,Florida,1.96,25.249895876718035
1946,Ramon Rivas,208.0,117.0,Temple University,1966.0,Carolina,Puerto Rico,2.08,27.043269230769226
1947,David Rivers,183.0,77.0,University of Notre Dame,1965.0,Jersey City,New Jersey,1.83,22.99262444384723
1948,Rob Rose,196.0,81.0,George Mason University,1964.0,Rochester,New York,1.96,21.084964598084134
1949,Jim Rowinski,203.0,113.0,Purdue University,1961.0,Long Island,New York,2.03,27.421194399281717
1950,Rony Seikaly,211.0,104.0,Syracuse University,1965.0,Beirut,Lebanon,2.11,23.35976280856225
1951,Charles Shackleford,208.0,102.0,North Carolina State University,1966.0,Kinston,North Carolina,2.08,23.57618343195266
1952,John Shasky,211.0,106.0,University of Minnesota,1964.0,Birmingham,Michigan,2.11,23.80898901641922
1953,Brian Shaw,198.0,86.0,"University of California, Santa Barbara",1966.0,Oakland,California,1.98,21.93653708805224
1954,Keith Smart,185.0,79.0,Indiana University,1964.0,Baton Rouge,Louisiana,1.85,23.08254200146092
1955,Charles Smith,208.0,104.0,University of Pittsburgh,1965.0,Bridgeport,Connecticut,2.08,24.038461538461537
1956,Rik Smits,224.0,113.0,Marist College,1966.0,Eindhoven,Netherlands,2.24,22.520727040816322
1957,John Starks,190.0,81.0,Oklahoma State University,1965.0,Tulsa,Oklahoma,1.9,22.437673130193907
1958,Everette Stephens,188.0,79.0,Purdue University,1966.0,Evanston,Illinois,1.88,22.351742870076958
1959,Rod Strickland,196.0,90.0,Jacksonville University,1940.0,Jacksonville,Florida,1.96,23.427738442315704
1960,Barry Sumpter,211.0,97.0,Austin Peay State University,1965.0,Brooklyn,Illinois,2.11,21.787471081062872
1961,Anthony Taylor,193.0,79.0,University of Oregon,1965.0,Los Angeles,California,1.93,21.20862305028323
1962,Tom Tolbert,201.0,106.0,University of Arizona,1965.0,Long Beach,California,2.01,26.236974332318514
1963,Kelvin Upshaw,188.0,81.0,University of Utah,1963.0,Chicago,Illinois,1.88,22.917609778180175
1964,Morlon Wiley,193.0,83.0,"California State University, Long Beach",1966.0,New Orleans,Louisiana,1.93,22.28247738194314
1965,Micheal Williams,188.0,82.0,Lincoln University of Missouri,1945.0,Seattle,Washington,1.88,23.20054323223178
1966,David Wood,206.0,102.0,"University of Nevada, Reno",1964.0,Spokane,Washington,2.06,24.036195682910737
1967,Nick Anderson,198.0,92.0,University of Illinois at Urbana-Champaign,1968.0,Chicago,Illinois,1.98,23.46699316396286
1968,Michael Ansley,201.0,102.0,University of Alabama,1967.0,Birmingham,Alabama,2.01,25.246899829212154
1969,B.J. Armstrong,201.0,102.0,,1967.0,,,2.01,25.246899829212154
1970,Dana Barros,180.0,73.0,Boston College,1967.0,Boston,Massachusetts,1.8,22.530864197530864
1971,Kenny Battle,198.0,95.0,University of Illinois at Urbana-Champaign,1964.0,Aurora,Illinois,1.98,24.232221201918172
1972,Winston Bennett,201.0,95.0,University of Kentucky,1965.0,Louisville,Kentucky,2.01,23.514269448776027
1973,Mookie Blaylock,183.0,81.0,University of Oklahoma,1967.0,Garland,Texas,1.83,24.187046492878256
1974,Chucky Brown,201.0,97.0,North Carolina State University,1968.0,New York,New York,2.01,24.009306700329205
1975,Raymond Brown,203.0,99.0,University of Idaho,1965.0,Atlanta,Georgia,2.03,24.023878279016728
1976,Stanley Brundy,198.0,95.0,DePaul University,1967.0,New Orleans,Louisiana,1.98,24.232221201918172
1977,Torgeir Bryn,206.0,113.0,Texas State University,1964.0,Oslo,Norway,2.06,26.628334433028563
1978,Steve Bucknall,198.0,97.0,University of North Carolina,1966.0,London,United Kingdom,1.98,24.742373227221712
1979,Adrian Caldwell,203.0,120.0,Lamar University,1966.0,Falls County,Texas,2.03,29.119852459414215
1980,Lanard Copeland,198.0,86.0,Georgia State University,1965.0,Atlanta,Georgia,1.98,21.93653708805224
1981,Terry Davis,206.0,102.0,Virginia Union University,1967.0,Danville,Virginia,2.06,24.036195682910737
1982,Byron Dinkins,185.0,77.0,University of North Carolina at Charlotte,1967.0,Charlotte,North Carolina,1.85,22.498173849525198
1983,Vlade Divac,216.0,110.0,,1968.0,Prijepolje,Serbia,2.16,23.576817558299037
